Data_type,Feature,-log10(p value),Position
DeepSHAP,bankssts,0.0349749199604223,Left
DeepSHAP,caudalanteriorcingulate,9.303642740216093,Left
DeepSHAP,caudalmiddlefrontal,45.8886407797828,Left
DeepSHAP,cuneus,1.3766613029475776,Left
DeepSHAP,entorhinal,15.43568127971181,Left
DeepSHAP,fusiform,24.59953389464313,Left
DeepSHAP,inferiorparietal,0.5959905349885691,Left
DeepSHAP,inferiortemporal,15.058507967861576,Left
DeepSHAP,isthmuscingulate,10.058630474661076,Left
DeepSHAP,lateraloccipital,9.432964617929672,Left
DeepSHAP,lateralorbitofrontal,30.67110854256352,Left
DeepSHAP,lingual,16.86934782485989,Left
DeepSHAP,medialorbitofrontal,35.40859910728016,Left
DeepSHAP,middletemporal,1.0186112638800842,Left
DeepSHAP,parahippocampal,1.5194003890980363,Left
DeepSHAP,paracentral,10.053135906387432,Left
DeepSHAP,parsopercularis,9.600724331646006,Left
DeepSHAP,parsorbitalis,50.90650131232648,Left
DeepSHAP,parstriangularis,8.871543549975684,Left
DeepSHAP,pericalcarine,5.148399141193004,Left
DeepSHAP,postcentral,4.102345481987511,Left
DeepSHAP,posteriorcingulate,3.348073586869812,Left
DeepSHAP,precentral,10.352508205423351,Left
DeepSHAP,precuneus,7.128457446668596,Left
DeepSHAP,rostralanteriorcingulate,14.97693345009983,Left
DeepSHAP,rostralmiddlefrontal,41.96565734170447,Left
DeepSHAP,superiorfrontal,37.54813248992927,Left
DeepSHAP,superiorparietal,28.423488233761947,Left
DeepSHAP,superiortemporal,28.843526491437327,Left
DeepSHAP,supramarginal,8.786776671684565,Left
DeepSHAP,frontalpole,49.9802770048836,Left
DeepSHAP,temporalpole,7.88330915369361,Left
DeepSHAP,transversetemporal,17.120059113327063,Left
DeepSHAP,insula,29.590406306949497,Left
DeepSHAP,bankssts,0.2238025944729195,Right
DeepSHAP,caudalanteriorcingulate,18.369858293919396,Right
DeepSHAP,caudalmiddlefrontal,40.20832834199362,Right
DeepSHAP,cuneus,19.21524299918856,Right
DeepSHAP,entorhinal,0.0535840322472167,Right
DeepSHAP,fusiform,34.87531377384707,Right
DeepSHAP,inferiorparietal,22.40410848075348,Right
DeepSHAP,inferiortemporal,19.57466511554183,Right
DeepSHAP,isthmuscingulate,0.301888580697171,Right
DeepSHAP,lateraloccipital,0.2960184456900549,Right
DeepSHAP,lateralorbitofrontal,4.57079075153442,Right
DeepSHAP,lingual,56.78809545293575,Right
DeepSHAP,medialorbitofrontal,22.966937447648004,Right
DeepSHAP,middletemporal,7.310549982773111,Right
DeepSHAP,parahippocampal,18.510382580508168,Right
DeepSHAP,paracentral,52.94738868660591,Right
DeepSHAP,parsopercularis,26.20013171501784,Right
DeepSHAP,parsorbitalis,10.792950438494076,Right
DeepSHAP,parstriangularis,30.538508003247568,Right
DeepSHAP,pericalcarine,21.43268998053461,Right
DeepSHAP,postcentral,30.97742549209699,Right
